Fund,Department,Type,Account,Current,Amount,Revenue,Annotation
General Fund,Inspections,Non-Program Revenues,Pony Express Plan Review,,-50000,TRUE,0
General Fund,Inspections,Non-Program Revenues,Reinspection Fees-Bldg,,-120000,TRUE,0
General Fund,Inspections,Non-Program Revenues,Reinspection Fees-Electrical,,-200000,TRUE,0
General Fund,Inspections,Non-Program Revenues,Reinspection Fees-Hv Ac,,-200000,TRUE,0
General Fund,Inspections,Non-Program Revenues,Reinspection Fees-Other,,-13600,TRUE,0
General Fund,Inspections,Non-Program Revenues,Reinspection Fees-Plumbing,,-140000,TRUE,0
General Fund,Inspections,Non-Program Revenues,Second Review Fee,,-12700,TRUE,0
General Fund,Inspections,Non-Program Revenues,Temporary Co Fee,,-17000,TRUE,0
General Fund,Inspections,Non-Program Revenues,Violations-Streets (Wcpss 90%),,-1400,TRUE,0
General Fund,IT Enterprise Infrastructure M,DR & Inf Perf Mgmt-IT,Misc Revenues,16728,0,TRUE,0
General Fund,Land Development Services,Non-Program Revenues,Express Svc Surcharge,805000,805000,TRUE,0
General Fund,Land Development Services,Non-Program Revenues,Insp-Cert Of Eligibility,3000,3000,TRUE,0
General Fund,Land Development Services,Non-Program Revenues,Permit Fees-Other,10000,10000,TRUE,0
General Fund,Land Development Services,Non-Program Revenues,Sign Permit Fee,117500,117500,TRUE,0
General Fund,Land Development Services,Non-Program Revenues,Zoning & Subdivision Fees,550000,550000,TRUE,0
General Fund,Neighborhood Code Enforcement,Non-Program Revenues,H/E-Minimum Housing,5000,0,TRUE,0
General Fund,Neighborhood Code Enforcement,Non-Program Revenues,H/E-P/N Vehicle,200,0,TRUE,0
General Fund,Neighborhood Code Enforcement,Non-Program Revenues,H/E-P/N Violations,13500,0,TRUE,0
General Fund,Neighborhood Code Enforcement,Non-Program Revenues,H/E-Rental Registration Progra,260000,0,TRUE,0
General Fund,Neighborhood Code Enforcement,Non-Program Revenues,H/E-Unsafe,500,0,TRUE,0
General Fund,Neighborhood Code Enforcement,Non-Program Revenues,Inspect-Prop Admin Fees,15000,0,TRUE,0
General Fund,Neighborhood Code Enforcement,Non-Program Revenues,Inspect-Prop Civil Citations,32000,0,TRUE,0
General Fund,Neighborhood Code Enforcement,Non-Program Revenues,Landlord Training Class Fees,1500,0,TRUE,0
General Fund,Neighborhood Code Enforcement,Non-Program Revenues,Nuisance Abatements,100000,0,TRUE,0
General Fund,Neighborhood Code Enforcement,Non-Program Revenues,Violations-Housing (Wcpss 90%),40000,0,TRUE,0
General Fund,Neighborhood Code Enforcement,Non-Program Revenues,Violations-Zoning (Wcpss 90%),8000,0,TRUE,0
General Fund,Neighborhood Code Enforcement,Non-Program Revenues,Zoning-P/N Vehicle,3000,0,TRUE,0
General Fund,Non-Departmental,Non-Program Revenues,Abc Revenues,1810000,153000,TRUE,0
General Fund,Non-Departmental,Non-Program Revenues,Approp From Prior Year,13000000,0,TRUE,0
General Fund,Non-Departmental,Non-Program Revenues,Approp From Special Reserve,1105463,1101339,TRUE,0
General Fund,Non-Departmental,Non-Program Revenues,Auto License - State,9760000,20000,TRUE,0
General Fund,Non-Departmental,Non-Program Revenues,Automobile License,100000,100000,TRUE,0
General Fund,Non-Departmental,Non-Program Revenues,Current Yr Tax Levy,221904300,14149300,TRUE,0
General Fund,Non-Departmental,Non-Program Revenues,Current Yr Tax Levy - State,16977300,1738300,TRUE,0
General Fund,Non-Departmental,Non-Program Revenues,Current Yr Tax Levy (Durham Co,710000,0,TRUE,0
General Fund,Non-Departmental,Non-Program Revenues,Current Yr Tax Levy-Msd (Combi,1308000,25750,TRUE,0
General Fund,Non-Departmental,Non-Program Revenues,Fr 230 For Ind Cost,529747,64899,TRUE,0
General Fund,Non-Departmental,Non-Program Revenues,Fr 230 Self Insurance,2334040,2334040,TRUE,0
General Fund,Non-Departmental,Non-Program Revenues,Fr 310 Reimb Engineering,304488,11666,TRUE,0
General Fund,Non-Departmental,Non-Program Revenues,Fr 310 Reimb Gen Svcs,7908185,65892,TRUE,0
General Fund,Non-Departmental,Non-Program Revenues,Fr 310 Reimb Sewer St Cuts,575000,20000,TRUE,0
General Fund,Non-Departmental,Non-Program Revenues,Fr 310 Reimb Water St Cuts,1500000,-60000,TRUE,0
General Fund,Non-Departmental,Non-Program Revenues,Fr 360 Indirect Cost,2364721,-743857,TRUE,0
General Fund,Non-Departmental,Non-Program Revenues,Fr 410 For Ind Cost,495247,28680,TRUE,0
General Fund,Non-Departmental,Non-Program Revenues,Fr 442 Reimb Ind Costs,580085,75529,TRUE,0
General Fund,Non-Departmental,Non-Program Revenues,Fr 460 Reimb Direct St Strmwtr,4514830,1483040,TRUE,0
General Fund,Non-Departmental,Non-Program Revenues,Fr 460 Reimb Ind Costs,2688840,-70138,TRUE,0
General Fund,Non-Departmental,Non-Program Revenues,Fr 642 For Ind Cost,1306152,-202688,TRUE,0
General Fund,Non-Departmental,Non-Program Revenues,Fr 741 For Ind Cost,378291,171564,TRUE,0
General Fund,Non-Departmental,Non-Program Revenues,Fr 810 for Indirect Cost,100000,0,TRUE,0
General Fund,Non-Departmental,Non-Program Revenues,Hillsborough MSD-Current Year,475400,195400,TRUE,0
General Fund,Non-Departmental,Non-Program Revenues,Interest On Investments,1607000,34000,TRUE,0
General Fund,Non-Departmental,Non-Program Revenues,Last Year Tax Levy,700000,0,TRUE,0
General Fund,Non-Departmental,Non-Program Revenues,Local Sales Tax,42300600,2030600,TRUE,0
General Fund,Non-Departmental,Non-Program Revenues,Misc Revenues,380000,0,TRUE,0
General Fund,Non-Departmental,Non-Program Revenues,Nc Beer & Wine Tax,2000000,21903,TRUE,0
General Fund,Non-Departmental,Non-Program Revenues,Nc Franchise Tax,31200000,5605306,TRUE,0
General Fund,Non-Departmental,Non-Program Revenues,Occupancy Tax,680000,0,TRUE,0
General Fund,Non-Departmental,Non-Program Revenues,Payment In Lieu Of Taxes-Rha,245000,-10000,TRUE,0
General Fund,Non-Departmental,Non-Program Revenues,Pilot-Centennial Authority,1238363,291135,TRUE,0
General Fund,Non-Departmental,Non-Program Revenues,Powell Bill Allocation,10615477,208147,TRUE,0
General Fund,Non-Departmental,Non-Program Revenues,Prior Years Tax Levy,200000,70000,TRUE,0
General Fund,Non-Departmental,Non-Program Revenues,Prop Tax Late List Pen (Wcpss,160000,0,TRUE,0
General Fund,Non-Departmental,Non-Program Revenues,Rental Income,8000,0,TRUE,0
General Fund,Non-Departmental,Non-Program Revenues,Stanhope Housing PILOT,111500,64990,TRUE,0
General Fund,Non-Departmental,Non-Program Revenues,Supplemental Sales Tax,48784400,2341400,TRUE,0
General Fund,Non-Departmental,Non-Program Revenues,Tax On Heavy Equip Rentals,400000,95000,TRUE,0
General Fund,Non-Departmental,Non-Program Revenues,Tax On Rental Vehicles,500000,0,TRUE,0
General Fund,Non-Departmental,Non-Program Revenues,Tax Penalties & Cost,600000,0,TRUE,0
General Fund,Non-Departmental,Non-Program Revenues,Taxi License,10000,0,TRUE,0
General Fund,Non-Departmental,Non-Program Revenues,Violation-Dog/Cat Pntly (Wcpss,13000,-8000,TRUE,0
General Fund,Office of Economic Development,Non-Program Revenues,MWBE Expo Support Revenue,6000,0,TRUE,0
General Fund,Office of Emerg Mgmt & Spec Ev,Non-Program Revenues,Special Event Fees,34175,34175,TRUE,0
General Fund,Planning,Non-Program Revenues,Insp Private Use-Minor Encroac,5000,1000,TRUE,0
General Fund,Planning,Non-Program Revenues,Insp Private Use-News Rack,1500,0,TRUE,0
General Fund,Planning,Non-Program Revenues,Insp Private Use-Outdoor Dinin,4250,-450,TRUE,0
General Fund,Planning,Non-Program Revenues,Insp Private Use-Street Vendor,9000,0,TRUE,0
General Fund,Planning,Non-Program Revenues,Inspect-Homeowner Recover Fee-,4500,1000,TRUE,0
General Fund,Planning,Non-Program Revenues,Planning Dept Misc Revenue,17500,-2500,TRUE,0
General Fund,Planning,Non-Program Revenues,Zoning Permit Fee,425000,-75000,TRUE,0
General Fund,Planning,Non-Program Revenues,Zoning-Code Violations,1000,-200,TRUE,0
General Fund,Police Administrative Services,Non-Program Revenues,Arrest Fees,157660,0,TRUE,0
General Fund,Police Administrative Services,Non-Program Revenues,Controlled Substance Tax-Polic,120000,0,TRUE,0
General Fund,Police Administrative Services,Non-Program Revenues,Cor Drug Forfeit (Wcpss 90%),200000,0,TRUE,0
General Fund,Police Administrative Services,Non-Program Revenues,False Alarm Billing Fees-Polic,390000,0,TRUE,0
General Fund,Police Administrative Services,Non-Program Revenues,Police False Alarm Late Fee,12900,0,TRUE,0
General Fund,Police Administrative Services,Non-Program Revenues,School Resource Officer (Sro),340542,0,TRUE,0
General Fund,Police Administrative Services,Non-Program Revenues,Taxi Cab Fines (Wcpss 90%),1575,0,TRUE,0
General Fund,Police Administrative Services,Non-Program Revenues,Taxi Driver Fees,100000,0,TRUE,0
General Fund,PRCR - Business Process Mgmt,Non-Program Revenues,School Based Program Fees,,-30000,TRUE,0
General Fund,PRCR - F&O - City Fac Maint,Non-Program Revenues,Rental Fee-900 S Wilmington St,,-26570,TRUE,0
General Fund,PRCR - F&O - City Fac Maint,Non-Program Revenues,Rent-One Exchange Plaza,,-384042,TRUE,0
General Fund,PRCR - F&O - Park Fac Maint,Non-Program Revenues,Fees/Sales,,-35000,TRUE,0
General Fund,PRCR - Parks - Cemetery Maint,Non-Program Revenues,Cemetery Lots & Svcs,100000,13000,TRUE,0
General Fund,PRCR - Recreation,Aquatics Administration,Pool Fees,210000,0,TRUE,0
General Fund,PRCR - Recreation,Non-Program Revenues,Athletic Fees,345000,0,TRUE,0
General Fund,PRCR - Recreation,Non-Program Revenues,Athletic Fees-Youth,70000,0,TRUE,0
General Fund,PRCR - Recreation,Non-Program Revenues,Community Ctr Fees,450000,30000,TRUE,0
General Fund,PRCR - Recreation,Non-Program Revenues,County Spec Pops Support,110000,0,TRUE,0
General Fund,PRCR - Recreation,Non-Program Revenues,Lake Fees,286250,4990,TRUE,0
General Fund,PRCR - Recreation,Non-Program Revenues,P&R Misc Income,70000,20000,TRUE,0
General Fund,PRCR - Recreation,Non-Program Revenues,Park Fees,1020000,0,TRUE,0
General Fund,PRCR - Recreation,Non-Program Revenues,Playground Prog Fees,501513,21513,TRUE,0
General Fund,PRCR - Recreation,Non-Program Revenues,Pool Fees,860000,-29100,TRUE,0
General Fund,PRCR - Recreation,Non-Program Revenues,Walnut Crk Softball Fees,35000,-55000,TRUE,0
General Fund,PRCR - Recreation,Project Phoenix-P&R,Donations/Contributions,20000,20000,TRUE,0
General Fund,PRCR - Recreation-School Based,Non-Program Revenues,School Based Program Fees,2120350,370350,TRUE,0
General Fund,Public Affairs-RTN,Non-Program Revenues,Cablevision Franchise,4700000,14388,TRUE,0
General Fund,Public Works,Non-Program Revenues,Const Plan Review Fee,,-55000,TRUE,0
General Fund,Public Works,Non-Program Revenues,Hwy Traffic Maint Refunds,,-1100000,TRUE,0
General Fund,Public Works,Non-Program Revenues,Inspection Fees-Engineer,,-52000,TRUE,0
General Fund,Public Works,Non-Program Revenues,Pavement Cut Permit Fees,,-55000,TRUE,0
General Fund,Public Works,Non-Program Revenues,Red Light Camera Revenue,,-739875,TRUE,0
General Fund,Public Works,Non-Program Revenues,Right Of Way Fee,,-775000,TRUE,0
General Fund,Purchasing,Non-Program Revenues,Misc Revenues,150000,25000,TRUE,0
General Fund,Transportation Services,Non-Program Revenues,Hwy Traffic Maint Refunds,1300000,1300000,TRUE,0
General Fund,Transportation Services,Non-Program Revenues,Red Light Camera Revenue,895767,895767,TRUE,0
Grants Fund,Community Svcs,Grant Year 2015/2016,Federal Grants,,-250538,TRUE,0
Grants Fund,Community Svcs,Grant Year 2015/2016,Fr 100 For Grants/Match,,-65744,TRUE,0
Grants Fund,Community Svcs,Grant Year 2015/2016,In Kind Contribution-City,,-70958,TRUE,0
Grants Fund,Community Svcs,Grant Year 2016/2017,Federal Grants,250538,250538,TRUE,0
Grants Fund,Community Svcs,Grant Year 2016/2017,Fr 100 For Grants/Match,66280,66280,TRUE,0
Grants Fund,Community Svcs,Grant Year 2016/2017,In Kind Contribution-City,44585,44585,TRUE,0
Grants Fund,Fire Adm,Grant Year 2016/2017,State Grants,69000,69000,TRUE,0
Grants Fund,Police Administrative Services,Grant Year 2015/2016,Federal Grants,,-20000,TRUE,0
Grants Fund,Police Administrative Services,Grant Year 2015/2016,Fr 100 For Grants/Match,,-4124,TRUE,0
Grants Fund,PRCR - Business Process Mgmt,Grant Year 2015/2016,County Grants,,-93350,TRUE,0
Grants Fund,PRCR - Business Process Mgmt,Grant Year 2015/2016,Fr 100 For Grants/Match,,-28005,TRUE,0
Grants Fund,PRCR - Business Process Mgmt,Grant Year 2016/2017,County Grants,93350,93350,TRUE,0
Grants Fund,PRCR - Business Process Mgmt,Grant Year 2016/2017,Fr 100 For Grants/Match,28004.9,28004.9,TRUE,0
Grants Fund,Public Works-Transportaion,Grant Year 2015/2016,Federal Grants,,-705778,TRUE,0
Grants Fund,Public Works-Transportaion,Grant Year 2015/2016,Fr 410 Transit Oper,,-233819,TRUE,0
Grants Fund,Public Works-Transportaion,Grant Year 2015/2016,State Match,,-145679,TRUE,0
Grants Fund,Transit - Trans Svcs,Grant Year 2016/2017,Federal Grants,1041568,1041568,TRUE,0
Grants Fund,Transit - Trans Svcs,Grant Year 2016/2017,Fr 410 Transit Oper,290838,290838,TRUE,0
Grants Fund,Transit - Trans Svcs,Grant Year 2016/2017,State Match,132168,132168,TRUE,0
Home Grant,Community Development,Non-Program Revenues,Federal Grants,1015443,0,TRUE,0
Home Grant,Community Development,Non-Program Revenues,Fr 735 Housing Oper,215449,-1272,TRUE,0
Home Grant,Community Development,Non-Program Revenues,Home Interest Inc,199000,25800,TRUE,0
Home Grant,Community Development,Non-Program Revenues,Home Principal Repay,290000,30200,TRUE,0
Home Grant,Community Development,Non-Program Revenues,Rental Income,38678,0,TRUE,0
Housing Development-Operating,Community Development,Housing Programs,City Housing Fd Interest Inc,28000,-18240,TRUE,0
Housing Development-Operating,Community Development,Housing Programs,City Housing Fd Prin Repay,14000,-23627,TRUE,0
Housing Development-Operating,Community Development,Housing Programs,Rental Income,280400,0,TRUE,0
Housing Development-Operating,Community Development,Non-Program Revenues,Fr 100 General Fd,1265157.21,285794.21,TRUE,0
Parking Debt Service Fund,Non-Departmental,Non-Program Revenues,Approp From Prior Year,930000,930000,TRUE,0
Parking Debt Service Fund,Non-Departmental,Non-Program Revenues,Fr 442 Parking Operations,6200000,-800000,TRUE,0
Parking Debt Service Fund,Non-Departmental,Non-Program Revenues,Interest On Investments,25000,0,TRUE,0
Parking Facilities Fund-Operat,Parking Operations,Non-Program Revenues,Approp From Prior Year,,-1704071.89,TRUE,0
Parking Facilities Fund-Operat,Parking Operations,Non-Program Revenues,Fr 100 General Fd,,-500000,TRUE,0
Parking Facilities Fund-Operat,Parking Operations,Non-Program Revenues,Fr 230 Self Insurance,,-17440,TRUE,0
Parking Facilities Fund-Operat,Parking Operations,Non-Program Revenues,Ice Rink Reimbursement,,-12377,TRUE,0
Parking Facilities Fund-Operat,Parking Operations,Non-Program Revenues,Interest On Investments,,-23000,TRUE,0
Parking Facilities Fund-Operat,Parking Operations,Non-Program Revenues,Misc Revenues,,-4399,TRUE,0
Parking Facilities Fund-Operat,Parking Operations,Non-Program Revenues,Palladium Parking Agreement,,-43000,TRUE,0
Parking Facilities Fund-Operat,Parking Operations,Non-Program Revenues,Parking Fees-Dillon Lot Monthl,,-11567731.3,TRUE,0
Parking Facilities Fund-Operat,Parking Operations,Non-Program Revenues,Parking Fees-LT Permit Fee,,-70000,TRUE,0
Parking Facilities Fund-Operat,Parking Operations,Non-Program Revenues,Parking Meter Revenue,,-1410638.52,TRUE,0
Parking Facilities Fund-Operat,Parking Operations,Non-Program Revenues,Parking Violation Penalties,,-2405157,TRUE,0
Parking Facilities Fund-Operat,Parking Operations,Non-Program Revenues,Parking-Residential Permit Fee,,-15500,TRUE,0
Parking Facilities Fund-Operat,Parking Operations,Non-Program Revenues,Rental/Parking Rev-New Rcc,,-75000,TRUE,0
Parking Facilities Fund-Operat,Parking Operations,Non-Program Revenues,Special Event Parking Permit F,,-1200,TRUE,0
Parking Facilities Fund-Operat,Parking Operations,Non-Program Revenues,Valet Parking Permit Fees,,-100,TRUE,0
Parking Facilities Fund-Operat,Parking Operations -Trans Svcs,Non-Program Revenues,Approp From Prior Year,672499.07,672499.07,TRUE,0
Parking Facilities Fund-Operat,Parking Operations -Trans Svcs,Non-Program Revenues,Fr 100 General Fd,500000,500000,TRUE,0
Parking Facilities Fund-Operat,Parking Operations -Trans Svcs,Non-Program Revenues,Fr 230 Self Insurance,37961,37961,TRUE,0
Parking Facilities Fund-Operat,Parking Operations -Trans Svcs,Non-Program Revenues,Ice Rink Reimbursement,12500,12500,TRUE,0
Parking Facilities Fund-Operat,Parking Operations -Trans Svcs,Non-Program Revenues,Interest On Investments,23000,23000,TRUE,0
Parking Facilities Fund-Operat,Parking Operations -Trans Svcs,Non-Program Revenues,Misc Revenues,29634,29634,TRUE,0
Parking Facilities Fund-Operat,Parking Operations -Trans Svcs,Non-Program Revenues,Musician Loading Zone Permits,200,200,TRUE,0
Parking Facilities Fund-Operat,Parking Operations -Trans Svcs,Non-Program Revenues,Palladium Parking Agreement,44290,44290,TRUE,0
Parking Facilities Fund-Operat,Parking Operations -Trans Svcs,Non-Program Revenues,Parking Fees-Dillon Lot Monthl,11106386,11106386,TRUE,0
Parking Facilities Fund-Operat,Parking Operations -Trans Svcs,Non-Program Revenues,Parking Fees-LT Permit Fee,75000,75000,TRUE,0
Parking Facilities Fund-Operat,Parking Operations -Trans Svcs,Non-Program Revenues,Parking Meter Revenue,1448242,1448242,TRUE,0
Parking Facilities Fund-Operat,Parking Operations -Trans Svcs,Non-Program Revenues,Parking Violation Penalties,2125685,2125685,TRUE,0
Parking Facilities Fund-Operat,Parking Operations -Trans Svcs,Non-Program Revenues,Parking-Residential Permit Fee,15500,15500,TRUE,0
Parking Facilities Fund-Operat,Parking Operations -Trans Svcs,Non-Program Revenues,Rental/Parking Rev-New Rcc,75000,75000,TRUE,0
Parking Facilities Fund-Operat,Parking Operations -Trans Svcs,Non-Program Revenues,Special Event Parking Permit F,1200,1200,TRUE,0
Parking Facilities Fund-Operat,Parking Operations -Trans Svcs,Non-Program Revenues,Valet Parking Permit Fees,100,100,TRUE,0
Public Transit Fund-Operating,Accessible Rail Tran-Tran Svcs,Non-Program Revenues,Federal Grants,900000,900000,TRUE,0
Public Transit Fund-Operating,Accessible Rail Tran-Tran Svcs,Non-Program Revenues,Fr 100 For Access Ral Trans,6875036,6875036,TRUE,0
Public Transit Fund-Operating,Accessible Rail Tran-Tran Svcs,Non-Program Revenues,Passenger Rev-ART Tier II,790328,790328,TRUE,0
Public Transit Fund-Operating,Accessible Raleigh Transit,Non-Program Revenues,Federal Grants,,-540328,TRUE,0
Public Transit Fund-Operating,Accessible Raleigh Transit,Non-Program Revenues,Fr 100 For Access Ral Trans,,-6815176,TRUE,0
Public Transit Fund-Operating,Accessible Raleigh Transit,Non-Program Revenues,Passenger Rev-ART Tier II,,-800000,TRUE,0
Public Transit Fund-Operating,Transit Operations,Non-Program Revenues,Advertising Revenue,,-125000,TRUE,0
Public Transit Fund-Operating,Transit Operations,Non-Program Revenues,Approp From Prior Year,,-722790.9,TRUE,0
Public Transit Fund-Operating,Transit Operations,Non-Program Revenues,Contracted Transit Route Rev,,-2506654,TRUE,0
Public Transit Fund-Operating,Transit Operations,Non-Program Revenues,Farebox Revenue,,-3612600,TRUE,0
Public Transit Fund-Operating,Transit Operations,Non-Program Revenues,Fr 100 General Fd,,-11759062,TRUE,0
Public Transit Fund-Operating,Transit Operations,Non-Program Revenues,Fr 230 Self Insurance,,-8720,TRUE,0
Public Transit Fund-Operating,Transit Operations,Non-Program Revenues,Misc Revenues,,-5000,TRUE,0
Public Transit Fund-Operating,Transit Operations,Non-Program Revenues,State Grants,,-2368993,TRUE,0
Public Transit Fund-Operating,Transit Operations -Trans Svcs,Non-Program Revenues,Advertising Revenue,200000,200000,TRUE,0
Public Transit Fund-Operating,Transit Operations -Trans Svcs,Non-Program Revenues,Approp From Prior Year,700000,700000,TRUE,0
Public Transit Fund-Operating,Transit Operations -Trans Svcs,Non-Program Revenues,Contracted Transit Route Rev,2546785,2546785,TRUE,0
Public Transit Fund-Operating,Transit Operations -Trans Svcs,Non-Program Revenues,Farebox Revenue,3448031,3448031,TRUE,0
Public Transit Fund-Operating,Transit Operations -Trans Svcs,Non-Program Revenues,Fr 100 General Fd,11995566,11995566,TRUE,0
Public Transit Fund-Operating,Transit Operations -Trans Svcs,Non-Program Revenues,Fr 230 Self Insurance,14835,14835,TRUE,0
Public Transit Fund-Operating,Transit Operations -Trans Svcs,Non-Program Revenues,Misc Revenues,5000,5000,TRUE,0
Public Transit Fund-Operating,Transit Operations -Trans Svcs,Non-Program Revenues,State Grants,2627581,2627581,TRUE,0
Public Utilities Fund,Public Utilities Admin,Non-Program Revenues,Additional Base W/S Capacity F,50000,0,TRUE,0
Public Utilities Fund,Public Utilities Admin,Non-Program Revenues,Approp From Excess Fund Bal-PU,18872000,-8280829,TRUE,0
Public Utilities Fund,Public Utilities Admin,Non-Program Revenues,Approp From Prior Year,6000000,-1312058,TRUE,0
Public Utilities Fund,Public Utilities Admin,Non-Program Revenues,Deferred Tap Fee Int,4000,0,TRUE,0
Public Utilities Fund,Public Utilities Admin,Non-Program Revenues,Farm Product Sales,250000,0,TRUE,0
Public Utilities Fund,Public Utilities Admin,Non-Program Revenues,FOG Administrative Charge,230160,230160,TRUE,0
Public Utilities Fund,Public Utilities Admin,Non-Program Revenues,Fr 100 For W/S Reimb,754960,49117,TRUE,0
Public Utilities Fund,Public Utilities Admin,Non-Program Revenues,Fr 230 Self Insurance,774927,443567,TRUE,0
Public Utilities Fund,Public Utilities Admin,Non-Program Revenues,Fr 260 Water & Sewer Reimburse,21750,-7350,TRUE,0
Public Utilities Fund,Public Utilities Admin,Non-Program Revenues,Fr 360 for W/S Reimb,35000,13400,TRUE,0
Public Utilities Fund,Public Utilities Admin,Non-Program Revenues,Fr 360 Indirect Cost,447093,9484,TRUE,0
Public Utilities Fund,Public Utilities Admin,Non-Program Revenues,Fr 360 SWS for Customer Suppor,222983,222983,TRUE,0
Public Utilities Fund,Public Utilities Admin,Non-Program Revenues,Fr 410 for W/S Reimb,32563,0,TRUE,0
Public Utilities Fund,Public Utilities Admin,Non-Program Revenues,Fr 442 For W/S Reimb,15100,600,TRUE,0
Public Utilities Fund,Public Utilities Admin,Non-Program Revenues,Fr 460 Reimb Ind Costs,357956,-13523,TRUE,0
Public Utilities Fund,Public Utilities Admin,Non-Program Revenues,Fr 642 For W/S Reimb,181000,33000,TRUE,0
Public Utilities Fund,Public Utilities Admin,Non-Program Revenues,Fr 736 For W/S Reimb,2450,0,TRUE,0
Public Utilities Fund,Public Utilities Admin,Non-Program Revenues,Gte Land Lease Pymts,500000,0,TRUE,0
Public Utilities Fund,Public Utilities Admin,Non-Program Revenues,Hydrant Meter Rentals,250000,0,TRUE,0
Public Utilities Fund,Public Utilities Admin,Non-Program Revenues,Impact Fees/Availability Fees-,875000,0,TRUE,0
Public Utilities Fund,Public Utilities Admin,Non-Program Revenues,Industry Sewer Surcharge,400000,0,TRUE,0
Public Utilities Fund,Public Utilities Admin,Non-Program Revenues,Interest On Investments,1110000,80000,TRUE,0
Public Utilities Fund,Public Utilities Admin,Non-Program Revenues,Lawn Irrigation Establish Perm,5000,0,TRUE,0
Public Utilities Fund,Public Utilities Admin,Non-Program Revenues,Merger Surcharge,75000,0,TRUE,0
Public Utilities Fund,Public Utilities Admin,Non-Program Revenues,Misc Revenues,397600,0,TRUE,0
Public Utilities Fund,Public Utilities Admin,Non-Program Revenues,Misc Water & Sewer Svc Chgs,77000,0,TRUE,0
Public Utilities Fund,Public Utilities Admin,Non-Program Revenues,Non Resd Sewer User Charges,39201922,664662,TRUE,0
Public Utilities Fund,Public Utilities Admin,Non-Program Revenues,Non-Resd Sewer Admin Charges,4361216,66332,TRUE,0
Public Utilities Fund,Public Utilities Admin,Non-Program Revenues,Non-Resd Water Admin Charges,4365613,63537,TRUE,0
Public Utilities Fund,Public Utilities Admin,Non-Program Revenues,Non-Resd Water User Charges,30406182,546758,TRUE,0
Public Utilities Fund,Public Utilities Admin,Non-Program Revenues,Nutrient Reduction Fee,,-3622000,TRUE,0
Public Utilities Fund,Public Utilities Admin,Non-Program Revenues,Nutrient Reduction Fee-Water,,-3500000,TRUE,0
Public Utilities Fund,Public Utilities Admin,Non-Program Revenues,Outside Sewer Connections,22000,0,TRUE,0
Public Utilities Fund,Public Utilities Admin,Non-Program Revenues,Resd Sewer Admin Charges,10907252,165945,TRUE,0
Public Utilities Fund,Public Utilities Admin,Non-Program Revenues,Resd Water Admin Charges,10347166,158455,TRUE,0
Public Utilities Fund,Public Utilities Admin,Non-Program Revenues,Septic Disposal Fees,150000,0,TRUE,0
Public Utilities Fund,Public Utilities Admin,Non-Program Revenues,Sewer Capital Fac Chgs,435000,-1000000,TRUE,0
Public Utilities Fund,Public Utilities Admin,Non-Program Revenues,Sewer Capital Facilities Fee,4622000,4622000,TRUE,0
Public Utilities Fund,Public Utilities Admin,Non-Program Revenues,Sewer Civil Penalties (Wcpss 9,5000,0,TRUE,0
Public Utilities Fund,Public Utilities Admin,Non-Program Revenues,Sewer Sales-Municipalities,14400,0,TRUE,0
Public Utilities Fund,Public Utilities Admin,Non-Program Revenues,Sewer Stub Inspection Fee,85000,0,TRUE,0
Public Utilities Fund,Public Utilities Admin,Non-Program Revenues,Sewer User Charges,44688852,1307539,TRUE,0
Public Utilities Fund,Public Utilities Admin,Non-Program Revenues,Water & Sewer Penalties,1155000,0,TRUE,0
Public Utilities Fund,Public Utilities Admin,Non-Program Revenues,Water & Sewer Svcs,893000,0,TRUE,0
Public Utilities Fund,Public Utilities Admin,Non-Program Revenues,Water Capital Fac Chgs,310000,-1000000,TRUE,0
Public Utilities Fund,Public Utilities Admin,Non-Program Revenues,Water Capital Facilities Fee,4500000,4500000,TRUE,0
Public Utilities Fund,Public Utilities Admin,Non-Program Revenues,Water Civil Penalties (Wcpss 9,5000,0,TRUE,0
Public Utilities Fund,Public Utilities Admin,Non-Program Revenues,Water Sales-Municipalities,144000,0,TRUE,0
Public Utilities Fund,Public Utilities Admin,Non-Program Revenues,Water Sewer Account Initiation,1475000,0,TRUE,0
Public Utilities Fund,Public Utilities Admin,Non-Program Revenues,Water Sewer Delinquent Bill Fe,2855000,0,TRUE,0
Public Utilities Fund,Public Utilities Admin,Non-Program Revenues,Water Sewer Refunds,-250000,0,TRUE,0
Public Utilities Fund,Public Utilities Admin,Non-Program Revenues,Water User Charges - Tier 1,22885589,850543,TRUE,0
Public Utilities Fund,Public Utilities Admin,Non-Program Revenues,Water User Charges - Tier 2,9545791,80942,TRUE,0
Public Utilities Fund,Public Utilities Admin,Non-Program Revenues,Water User Charges - Tier 3,8970990,673385,TRUE,0
Rcc/Pac Debt Svc Fund,Non-Departmental,Non-Program Revenues,Approp From Prior Year,11749,11749,TRUE,0
Rcc/Pac Debt Svc Fund,Non-Departmental,Non-Program Revenues,Fr 715 Conv Ctr Financing Fund,18475783,-1137,TRUE,0
Rcc/Pac Debt Svc Fund,Non-Departmental,Non-Program Revenues,Interest On Investments,21000,0,TRUE,0
Rcc/Pac Operations Fund,Performing Arts Center,Administrative,Fr 100 General Fd,1397039,42677,TRUE,0
Rcc/Pac Operations Fund,Performing Arts Center,Administrative,Fr 230 Self Insurance,27042,15880,TRUE,0
Rcc/Pac Operations Fund,Performing Arts Center,Administrative,Interest On Investments,5781,0,TRUE,0
